구별,소계
종로구,150.619195
중 구,166.4907652
용산구,125.203252
성동구,134.7938144
광진구,2109
동대문구,53.22862129
중랑구,64.9737303
성북구,100
강북구,188.9298893
도봉구,246.6386555
노원구,1870
은평구,139.3382353
서대문구,212.1019108
마포구,1254
양천구,63.371266
강서구,81.78082192
구로구,63.62735382
금천구,104.3478261
영등포구,34.67173087
동작구,1277
관악구,53.21637427
서초구,2108
강남구,248.9224138
송파구,1023
강동구,79.96070727
